BMI,YEAR
25.9,1994
26.0,1995
26.1,1996
26.3,1997
26.4,1998
26.4,1999
26.7,2000
26.9,2001
26.8,2002
26.8,2003
26.9,2004
26.9,2005
27.0,2006
27.0,2007
27.0,2008
27.0,2009
27.3,2010
27.1,2011
27.1,2012
27.2,2013
27.2,2014
27.4,2015
27.3,2016
27.7,2017
27.5,2018
27.6,2019
27.4,2021
